"DATE","PINTPAID65Q4","PINTPAID66Q1","PINTPAID66Q2","PINTPAID66Q3","PINTPAID66Q4","PINTPAID67Q1","PINTPAID67Q2","PINTPAID67Q3","PINTPAID67Q4","PINTPAID68Q1","PINTPAID68Q2","PINTPAID68Q3","PINTPAID68Q4","PINTPAID69Q1","PINTPAID69Q2","PINTPAID69Q3","PINTPAID69Q4","PINTPAID70Q1","PINTPAID70Q2","PINTPAID70Q3","PINTPAID70Q4","PINTPAID71Q1","PINTPAID71Q2","PINTPAID71Q3","PINTPAID71Q4","PINTPAID72Q1","PINTPAID72Q2","PINTPAID72Q3","PINTPAID72Q4","PINTPAID73Q1","PINTPAID73Q2","PINTPAID73Q3","PINTPAID73Q4","PINTPAID74Q1","PINTPAID74Q2","PINTPAID74Q3","PINTPAID74Q4","PINTPAID75Q1","PINTPAID75Q2","PINTPAID75Q3","PINTPAID75Q4","PINTPAID76Q1","PINTPAID76Q2","PINTPAID76Q3","PINTPAID76Q4","PINTPAID77Q1","PINTPAID77Q2","PINTPAID77Q3","PINTPAID77Q4","PINTPAID78Q1","PINTPAID78Q2","PINTPAID78Q3","PINTPAID78Q4","PINTPAID79Q1","PINTPAID79Q2","PINTPAID79Q3","PINTPAID79Q4","PINTPAID80Q1","PINTPAID80Q2","PINTPAID80Q3","PINTPAID80Q4","PINTPAID81Q1","PINTPAID81Q2","PINTPAID81Q3","PINTPAID81Q4","PINTPAID82Q1","PINTPAID82Q2","PINTPAID82Q3","PINTPAID82Q4","PINTPAID83Q1","PINTPAID83Q2","PINTPAID83Q3","PINTPAID83Q4","PINTPAID84Q1","PINTPAID84Q2","PINTPAID84Q3","PINTPAID84Q4","PINTPAID85Q1","PINTPAID85Q2","PINTPAID85Q3","PINTPAID85Q4","PINTPAID86Q1","PINTPAID86Q2","PINTPAID86Q3","PINTPAID86Q4","PINTPAID87Q1","PINTPAID87Q2","PINTPAID87Q3","PINTPAID87Q4","PINTPAID88Q1","PINTPAID88Q2","PINTPAID88Q3","PINTPAID88Q4","PINTPAID89Q1","PINTPAID89Q2","PINTPAID89Q3","PINTPAID89Q4","PINTPAID90Q1","PINTPAID90Q2","PINTPAID90Q3","PINTPAID90Q4","PINTPAID91Q1","PINTPAID91Q2","PINTPAID91Q3","PINTPAID91Q4","PINTPAID92Q1","PINTPAID92Q2","PINTPAID92Q3","PINTPAID92Q4","PINTPAID93Q1","PINTPAID93Q2","PINTPAID93Q3","PINTPAID93Q4","PINTPAID94Q1","PINTPAID94Q2","PINTPAID94Q3","PINTPAID94Q4","PINTPAID95Q1","PINTPAID95Q2","PINTPAID95Q3","PINTPAID95Q4","PINTPAID96Q1","PINTPAID96Q2","PINTPAID96Q3","PINTPAID96Q4","PINTPAID97Q1","PINTPAID97Q2","PINTPAID97Q3","PINTPAID97Q4","PINTPAID98Q1","PINTPAID98Q2","PINTPAID98Q3","PINTPAID98Q4","PINTPAID99Q1","PINTPAID99Q2","PINTPAID99Q3","PINTPAID99Q4","PINTPAID00Q1","PINTPAID00Q2","PINTPAID00Q3","PINTPAID00Q4","PINTPAID01Q1","PINTPAID01Q2","PINTPAID01Q3","PINTPAID01Q4","PINTPAID02Q1","PINTPAID02Q2","PINTPAID02Q3","PINTPAID02Q4","PINTPAID03Q1","PINTPAID03Q2","PINTPAID03Q3","PINTPAID03Q4","PINTPAID04Q1","PINTPAID04Q2","PINTPAID04Q3","PINTPAID04Q4","PINTPAID05Q1","PINTPAID05Q2","PINTPAID05Q3","PINTPAID05Q4","PINTPAID06Q1","PINTPAID06Q2","PINTPAID06Q3","PINTPAID06Q4","PINTPAID07Q1","PINTPAID07Q2","PINTPAID07Q3","PINTPAID07Q4","PINTPAID08Q1","PINTPAID08Q2","PINTPAID08Q3","PINTPAID08Q4","PINTPAID09Q1","PINTPAID09Q2","PINTPAID09Q3","PINTPAID09Q4","PINTPAID10Q1","PINTPAID10Q2","PINTPAID10Q3","PINTPAID10Q4","PINTPAID11Q1","PINTPAID11Q2","PINTPAID11Q3","PINTPAID11Q4","PINTPAID12Q1","PINTPAID12Q2","PINTPAID12Q3","PINTPAID12Q4","PINTPAID13Q1","PINTPAID13Q2","PINTPAID13Q3","PINTPAID13Q4","PINTPAID14Q1","PINTPAID14Q2","PINTPAID14Q3","PINTPAID14Q4","PINTPAID15Q1","PINTPAID15Q2"
"1991:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","106.2","106.3","112.8","112.8","112.8","112.8","112.8","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","#N/A","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","118.1","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0","121.2","121.2","121.2","121.2","121.2","121.2","121.2","121.2"
"1992:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","106.5","113.3","113.3","113.3","113.3","113.3","111.9","111.9","111.9","112.6","112.6","112.6","112.6","112.6","112.6","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","#N/A","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","119.9","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","114.7","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","113.9","120.1","120.1","120.1","120.1","120.1","120.1","120.1","120.1"
"1992:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","111.9","112.0","112.0","112.0","112.0","110.9","110.9","110.9","112.0","112.0","112.0","112.0","112.0","112.0","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","112.1","#N/A","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","118.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.9","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","112.3","119.1","119.1","119.1","119.1","119.1","119.1","119.1","119.1"
"1992:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","111.3","111.2","111.2","111.2","110.5","110.5","110.5","111.0","111.0","111.0","111.0","111.0","111.0","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","#N/A","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.8","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","110.5","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2"
"1992:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","111.4","111.7","111.7","111.3","111.3","111.3","110.2","110.2","110.2","110.2","110.2","110.2","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","#N/A","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","117.9","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.8","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9"
"1993:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","112.5","113.0","112.5","112.5","112.5","109.3","109.3","109.3","109.3","109.3","109.3","109.0","109.0","109.0","109.0","109.0","109.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","110.0","#N/A","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.4","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","116.5","116.5","116.5","116.5","116.5","116.5","116.5","116.5"
"1993:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","113.1","112.7","112.7","112.7","107.5","107.5","107.5","107.5","107.5","107.5","108.0","108.0","108.0","108.0","108.0","108.0","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","108.3","#N/A","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","108.1","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","107.8","116.4","116.4","116.4","116.4","116.4","116.4","116.4","116.4"
"1993:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","113.8","114.1","114.1","107.2","107.2","107.2","107.2","107.2","107.2","108.5","108.5","108.5","108.5","108.5","108.5","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","#N/A","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","114.4","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","106.1","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","105.8","115.0","115.0","115.0","115.0","115.0","115.0","115.0","115.0"
"1993:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","116.7","116.8","108.7","108.7","108.7","108.7","108.7","108.7","110.0","110.0","110.0","110.0","110.0","110.0","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","#N/A","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","115.2","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9"
"1994:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","119.3","111.7","111.7","111.7","111.7","111.7","111.7","113.0","113.0","113.0","113.0","113.0","113.0","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","107.6","#N/A","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","114.9","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","106.3","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","107.2","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1"
"1994:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","115.3","115.5","115.5","115.5","115.5","115.5","115.8","115.8","115.8","115.8","115.8","115.8","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","108.7","#N/A","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1","116.1","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.3","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","110.7","119.5","119.5","119.5","119.5","119.5","119.5","119.5","119.5"
"1994:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","119.3","119.3","119.3","119.3","119.3","118.4","118.4","118.4","118.4","118.4","118.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","#N/A","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","116.2","124.8","124.8","124.8","124.8","124.8","124.8","124.8","124.8"
