"DATE","PCPIX98M11","PCPIX98M12","PCPIX99M1","PCPIX99M2","PCPIX99M3","PCPIX99M4","PCPIX99M5","PCPIX99M6","PCPIX99M7","PCPIX99M8","PCPIX99M9","PCPIX99M10","PCPIX99M11","PCPIX99M12","PCPIX00M1","PCPIX00M2","PCPIX00M3","PCPIX00M4","PCPIX00M5","PCPIX00M6","PCPIX00M7","PCPIX00M8","PCPIX00M9","PCPIX00M10","PCPIX00M11","PCPIX00M12","PCPIX01M1","PCPIX01M2","PCPIX01M3","PCPIX01M4","PCPIX01M5","PCPIX01M6","PCPIX01M7","PCPIX01M8","PCPIX01M9","PCPIX01M10","PCPIX01M11","PCPIX01M12","PCPIX02M1","PCPIX02M2","PCPIX02M3","PCPIX02M4","PCPIX02M5","PCPIX02M6","PCPIX02M7","PCPIX02M8","PCPIX02M9","PCPIX02M10","PCPIX02M11","PCPIX02M12","PCPIX03M1","PCPIX03M2","PCPIX03M3","PCPIX03M4","PCPIX03M5","PCPIX03M6","PCPIX03M7","PCPIX03M8","PCPIX03M9","PCPIX03M10","PCPIX03M11","PCPIX03M12","PCPIX04M1","PCPIX04M2","PCPIX04M3","PCPIX04M4","PCPIX04M5","PCPIX04M6","PCPIX04M7","PCPIX04M8","PCPIX04M9","PCPIX04M10","PCPIX04M11","PCPIX04M12","PCPIX05M1","PCPIX05M2","PCPIX05M3","PCPIX05M4","PCPIX05M5","PCPIX05M6","PCPIX05M7","PCPIX05M8","PCPIX05M9","PCPIX05M10","PCPIX05M11","PCPIX05M12","PCPIX06M1","PCPIX06M2","PCPIX06M3","PCPIX06M4","PCPIX06M5","PCPIX06M6","PCPIX06M7","PCPIX06M8","PCPIX06M9","PCPIX06M10","PCPIX06M11","PCPIX06M12","PCPIX07M1","PCPIX07M2","PCPIX07M3","PCPIX07M4","PCPIX07M5","PCPIX07M6","PCPIX07M7","PCPIX07M8","PCPIX07M9","PCPIX07M10","PCPIX07M11","PCPIX07M12","PCPIX08M1","PCPIX08M2","PCPIX08M3","PCPIX08M4","PCPIX08M5","PCPIX08M6","PCPIX08M7","PCPIX08M8","PCPIX08M9","PCPIX08M10","PCPIX08M11","PCPIX08M12","PCPIX09M1","PCPIX09M2","PCPIX09M3","PCPIX09M4","PCPIX09M5","PCPIX09M6","PCPIX09M7","PCPIX09M8","PCPIX09M9","PCPIX09M10","PCPIX09M11","PCPIX09M12","PCPIX10M1","PCPIX10M2","PCPIX10M3","PCPIX10M4","PCPIX10M5","PCPIX10M6","PCPIX10M7","PCPIX10M8","PCPIX10M9","PCPIX10M10","PCPIX10M11","PCPIX10M12","PCPIX11M1","PCPIX11M2","PCPIX11M3","PCPIX11M4","PCPIX11M5","PCPIX11M6","PCPIX11M7","PCPIX11M8","PCPIX11M9","PCPIX11M10","PCPIX11M11","PCPIX11M12","PCPIX12M1","PCPIX12M2","PCPIX12M3","PCPIX12M4","PCPIX12M5","PCPIX12M6","PCPIX12M7","PCPIX12M8","PCPIX12M9","PCPIX12M10","PCPIX12M11","PCPIX12M12","PCPIX13M1","PCPIX13M2","PCPIX13M3","PCPIX13M4","PCPIX13M5","PCPIX13M6","PCPIX13M7","PCPIX13M8","PCPIX13M9","PCPIX13M10","PCPIX13M11","PCPIX13M12","PCPIX14M1","PCPIX14M2","PCPIX14M3","PCPIX14M4","PCPIX14M5","PCPIX14M6","PCPIX14M7","PCPIX14M8","PCPIX14M9","PCPIX14M10","PCPIX14M11","PCPIX14M12","PCPIX15M1","PCPIX15M2","PCPIX15M3","PCPIX15M4","PCPIX15M5"
"1962:08","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5"
"1962:09","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5"
"1962:10","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5"
"1962:11","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5"
"1962:12","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6"
"1963:01","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5","31.5"
"1963:02","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6","31.6"
"1963:03","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7"
"1963:04","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7"
"1963:05","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7"
"1963:06","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8"
"1963:07","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8"
"1963:08","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9"
"1963:09","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9","31.9"
"1963:10","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
